title,author,publisher,ISBN,category,date,pages,price,discount_price
Γελοιογραφικές αναδιαρθρώσεις. Μέσα από τις σελίδες του Ριζοσπάστη,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-514-1,Κόμιξ - Γελοιογραφίες,Δεκέμβρης 2024,144,15.00€ , 13.50€
Όταν σε σκέφτομαι$ ο κόσμος τρίζει,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-513-4,Ελληνική Λογοτεχνία,Δεκέμβρης 2024,48,7.00€ , 6.30€
ΣΤΑΦΙΔΑ. Ο λεγόµενος και «Μαύρος Χρυσός» του Μωριά. Μία ιστορία ταξικών αγώνων και συγκρούσεων,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-512-7,Πολιτική & Κοινωνία,Δεκέμβρης 2024,208,11.00€ , 9.90€
NTOKOYMENTA Συμμαχικών Διασκέψεων του Β΄ Παγκόσμιου Πολέμου. ΓΙΑΛΤΑ-ΜΟΣΧΑ-ΤΕΧΕΡΑΝΗ-ΠΟΤΣΝΤΑΜ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-510-3,Πολιτική & Κοινωνία,Νοέμβρης 2024,576,24.00€ , 21.60€
Στ’ αριστερά της σκάλας,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-509-7,Παιδική & Νεανική Βιβλιοθήκη,Νοέμβρης 2024,320,13.00€ , 11.70€
Το Μάτι της Λέξης,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-508-0,Ελληνική Λογοτεχνία,Νοέμβρης 2024,80,10.00€ , 9.00€
Η βεράντα με τις βουκαμβίλιες,Αλμύρα,Αλμύρα,978-9925-6220-8-5,Βιβλία άλλων εκδοτών,,280,16.00€ , 14.40€
Μπίρα με γρεναδίνη. Διηγήματα της πόλης,ΠΥΛΗ,ΠΥΛΗ,9789607041142,Βιβλία άλλων εκδοτών,Μάρτης 2008,112,10.60€ , 7.42€
Ο νέος των Αθηνών. Ο έρως – ο χρόνος – ο θάνατος,ΠΥΛΗ,ΠΥΛΗ,9789607041180,Βιβλία άλλων εκδοτών,Νοέμβρης 2007,112,26.50€ , 19.88€
Διαδρομές στην Αθήνα,ΜΝΗΜΕΣ,ΜΝΗΜΕΣ,9789608613065,Βιβλία άλλων εκδοτών,Φλεβάρης 2024,45,15.90€ , 11.13€
Routes through Athens,ΜΝΗΜΕΣ,ΜΝΗΜΕΣ,980-861130-5-1,Βιβλία άλλων εκδοτών,Δεκέμβρης 2003,42,15.90€ , 11.13€
CD ROUTES THROUGH ATHENS (ΔΙΑΔΡΟΜΕΣ ΣΤΗΝ ΑΘΗΝΑ),,,5050466265159,Βιβλία άλλων εκδοτών,,,18.60€ , 13.95€
Το κόκκινο Αερόστατο | Τεύχος 5$ Νοέμβριος – Δεκέμβριος 2024,Κατεβάστε το εκπαιδευτικό υλικό,,,Παιδική & Νεανική Βιβλιοθήκη,Νοέμβρης 2024,36,2.50€,
Οι Έλληνες στο Χόλιγουντ την εποχή του βωβού κινηματογράφου,ΜΝΗΜΕΣ,ΜΝΗΜΕΣ,9789608848733,Βιβλία άλλων εκδοτών,Δεκέμβρης 2020,110,21.20€ , 14.84€
Greeks in hollywood  in the silent movie era,ΜΝΗΜΕΣ,ΜΝΗΜΕΣ,9789608848740,Βιβλία άλλων εκδοτών,Δεκέμβρης 2020,110,21.20€ , 14.84€
Όπου γη$ Ελλάδα. Το έπος της μετανάστευσης σε εικόνες,ΜΝΗΜΕΣ,ΜΝΗΜΕΣ,9789608613003,Βιβλία άλλων εκδοτών,Δεκέμβρης 2004,158,37.10€ , 27.83€
Προς την Κεντρική Επιτροπή του ΚΚΣΕ (1965),ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-507-3,Πολιτική & Κοινωνία,Οκτώβρης 2024,304,15.00€ , 13.50€
Η Κόκκινη Φρουρά τις μέρες του Οκτώβρη (Λένινγκραντ και Μόσχα),ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-506-6,Πολιτική & Κοινωνία,Οκτώβρης 2024,112,10.00€ , 9.00€
Σπυριδούλες,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-505-9,Ελληνική Λογοτεχνία,Οκτώβρης 2024,80,8.00€ , 7.20€
Το κόκκινο Αερόστατο | Τεύχος 4$ Σεπτέμβριος – Οκτώβριος 2024,,,,Κόκκινο Αερόστατο,Σεπτέμβρης 2024,36,2.50€,
Ριζοσπάστης. 50 χρόνια νόμιμης επανέκδοσης. Κρατάμε σφιχτά το νήμα και προχωράμε!,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-504-2,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,80,4.00€ , 3.00€
Ντα ζβιντάνιγια – Дo свидания. Σελίδες μέσα στο χρόνο. Κείµενα για την Σοβιετική Ένωση 1980-1986,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-503-5,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,184,11.00€ , 8.25€
Το Παλαιστινιακό Ζήτημα. Ιστορική αναδροµή στις ρίζες και την εξέλιξή του,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-502-8,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,328,15.00€ , 12.00€
MANSTERS – The roleplaying game (deluxe pledge),Black Lantern,Black Lantern,978-618-86264-3-0,Επιτραπέζια,Σεπτέμβριος 2024,,55.00€,
MANSTERS – The roleplaying game (corebook pledge),Black Lantern,Black Lantern,978-618-86264-3-0,Επιτραπέζια,Σεπτέμβριος 2024,,30.00€,
Τεχνητή Νοημοσύνη: Η νέα εποχή στην τεχνολογία απαιτεί μια νέα εποχή στην κοινωνία. Σοσιαλισμός$ η απάντηση τον 21ο αιώνα,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-501-1,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,160,9.00€ , 7.20€
Διεθνής Κομμουνιστική Επιθεώρηση #13 Σεπτέμβρης 2024,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,2241-0201,Πολιτική & Κοινωνία,Σεπτέμβρης 2024,144,5.00€,
O κόσμος του παιδιού. Βιβλίο πρώτο. Προσχολική ηλικία,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-500-4,Πολιτική & Κοινωνία,1989,432,25.00€ , 17.50€
Θεατρικά & Διηγήματα. Πρόσκληση λογοτεχνικού έργου για τα 50 χρόνια της Σύγχρονης Εποχής,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,ΣΥΓΧΡΟΝΗ ΕΠΟΧΗ,978-960-451-498-4,Ελληνική Λογοτεχνία,Αύγουστος 2024,136,11.00€ , 8.25€
